1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.108010	0.000000	19.017495	0.008833	1019.5
1	-0.065769	0.000000	19.017495	0.006888	1.8
2	-0.046622	1.000000	18.153064	0.006826	1.8
3	-0.063479	1.999993	17.363805	0.004110	1.9
4	-0.080438	1.076745	18.089958	0.003472	1.8
5	-0.084358	1.472935	17.771039	0.005652	1.8
6	-0.081923	2.228310	17.193132	0.002200	1.8
7	-0.063216	1.369894	17.852897	0.003010	1.8
8	-0.078283	1.363134	17.858293	0.002553	1.8
9	-0.072460	2.128793	17.267109	0.007678	1.8
10	-0.045150	2.558402	16.952228	0.002236	1.8
11	-0.058651	1.686616	17.603657	0.007353	1.8
12	-0.050197	0.790044	18.327975	0.003051	1.9
13	-0.070910	0.118834	18.910485	0.009366	1.8
14	-0.016537	0.914046	18.224266	0.003114	1.7
15	-0.046881	1.912500	17.430110	0.007912	1.9
16	-0.065172	2.902950	16.707870	0.002993	1.8
17	-0.095394	3.897247	16.040625	0.001800	1.8
18	-0.081602	4.498274	15.662526	0.001219	1.9
19	0.000460	4.265305	15.806949	0.002046	1.8
20	-0.053682	3.958701	16.001129	0.006736	1.8
21	-0.120764	3.078485	16.586068	0.001488	1.9
22	-0.077500	3.627204	16.216514	0.009300	1.8
23	-0.046045	4.041047	15.948510	0.003186	1.8
24	-0.030273	5.039802	15.336806	0.001940	1.7
25	-0.043179	4.884595	15.428767	0.004689	1.8
26	-0.057262	5.587315	15.020975	0.005922	1.8
27	-0.100020	6.570348	14.485396	0.012135	1.8
28	-0.048230	7.570348	13.978388	0.003845	1.8
29	-0.066022	6.646608	14.445439	0.007621	1.8
30	-0.035986	6.413027	14.568526	0.004556	1.9
31	-0.076432	5.489026	15.076712	0.011045	1.8
32	-0.031711	6.489019	14.528252	0.007309	1.8
33	-0.074147	7.489019	14.018292	0.003167	1.9
34	-0.027533	6.575354	14.482766	0.012425	1.9
35	-0.068905	5.651339	14.984890	0.002311	1.9
36	-0.047865	6.649749	14.443798	0.008450	1.9
37	-0.080449	5.737516	14.936593	0.003383	1.9
38	-0.084634	5.496395	15.072518	0.002075	1.9
39	-0.079577	5.131822	15.282799	0.003728	1.9
40	-0.079462	4.586850	15.608307	0.014751	2.0
41	-0.021196	5.585088	15.022233	0.004617	1.8
42	-0.088251	6.585088	14.477655	0.003758	1.9
43	-0.059882	7.360750	14.081694	0.001352	1.6
44	-0.097436	7.816384	13.859039	0.009960	1.9
45	-0.073534	7.114680	14.204942	0.011273	1.7
46	-0.075987	8.114680	13.717046	0.005695	1.9
47	-0.053311	7.199162	14.162385	0.007248	1.9
48	-0.054749	8.198732	13.677559	0.002092	1.9
49	-0.038164	7.574569	13.976323	0.011250	1.8
50	-0.100236	8.195250	13.679191	0.005302	1.8
51	-0.055778	9.195245	13.226168	0.006267	1.8
52	-0.117779	10.194829	12.802359	0.009935	1.9
53	-0.071477	11.194828	12.404706	0.005627	1.8
54	-0.122855	10.270577	12.771347	0.014126	1.8
55	-0.079311	9.346325	13.160321	0.003059	1.8
56	-0.082027	8.422129	13.573708	0.001804	1.8
57	-0.094418	8.208451	13.673008	0.001057	1.9
58	-0.100399	8.362760	13.601153	0.000818	1.8
59	-0.061705	8.409332	13.579614	0.009316	1.8
60	-0.079953	9.125639	13.256728	0.001900	1.8
61	-0.113336	9.048835	13.290612	0.007205	1.8
62	-0.088605	8.916901	13.349224	0.003925	1.8
63	-0.062823	9.912860	12.919134	0.002264	1.9
64	-0.089135	10.700202	12.598260	0.004529	1.7
65	-0.084827	9.881136	12.932406	0.008497	1.7
66	-0.092018	8.956939	13.331382	0.001390	1.8
67	-0.065823	8.461097	13.555754	0.006912	1.8
68	-0.057935	7.936614	13.801456	0.012736	1.8
69	-0.081565	7.012363	14.256827	0.005992	1.9
70	-0.043618	6.088111	14.743272	0.007367	1.8
71	-0.101204	5.163872	15.264079	0.005700	1.9
72	-0.078599	4.239885	15.822869	0.005869	1.8
73	-0.065675	3.321860	16.420101	0.008622	1.8
74	-0.053205	4.320877	15.772258	0.006200	1.8
75	-0.011266	5.320827	15.173057	0.003619	1.8
76	-0.078529	4.400997	15.722508	0.002148	1.8
77	-0.079330	5.165684	15.263021	0.009902	1.9
78	-0.036949	4.329003	15.767197	0.005992	1.9
79	-0.023541	5.329003	15.168345	0.007867	1.8
80	-0.069311	4.404836	15.720133	0.001732	1.7
81	-0.040250	4.806295	15.475580	0.007515	1.8
82	-0.085158	4.218066	15.836559	0.001826	1.9
83	-0.057600	5.165028	15.263404	0.004079	1.9
84	-0.062817	5.203918	15.240751	0.003776	1.8
85	-0.035121	6.081232	14.747017	0.004075	1.8
86	-0.069431	5.188262	15.249863	0.010704	1.9
87	-0.056479	4.264024	15.807751	0.006569	1.8
88	-0.065808	5.258603	15.209011	0.004713	1.7
89	-0.076208	6.244742	14.658512	0.007241	1.8
90	-0.086317	7.244490	14.139657	0.004011	1.8
91	-0.125492	6.321415	14.617376	0.006276	1.8
92	0.008501	7.313450	14.105219	0.007392	1.8
93	-0.090709	8.313428	13.624043	0.006619	1.8
94	-0.063596	9.310280	13.175972	0.001024	1.7
95	-0.094924	9.356432	13.155940	0.004416	1.8
96	-0.098546	9.239945	13.206618	0.005903	1.7
97	-0.062264	10.183790	12.806891	0.005776	1.8
98	-0.103868	11.181931	12.409678	0.001913	1.7
99	-0.065593	10.794705	12.560815	0.002778	1.8
100	-0.037141	10.894691	12.521438	0.007590	1.8
101	-0.038162	11.884672	12.144485	0.005232	1.9
102	-0.106390	10.960460	12.495671	0.002967	1.9
103	-0.058230	11.897991	12.139568	0.006943	1.9
104	-0.028828	10.985488	12.485893	0.005638	1.8
105	-0.057430	11.985398	12.107400	0.008595	1.8
106	-0.061414	12.985393	11.751148	0.002452	1.7
107	-0.022988	13.978412	11.417540	0.003088	1.7
108	-0.082921	13.593168	11.544690	0.018488	1.9
109	-0.084687	14.593137	11.220348	0.004199	1.9
110	-0.047545	15.593137	10.913724	0.019930	1.8
111	-0.101046	16.593137	10.623412	0.017412	1.8
112	-0.061802	15.668885	10.891179	0.007311	1.9
113	-0.021972	14.744633	11.172793	0.004036	1.8
114	-0.128373	13.821192	11.469090	0.012856	1.9
115	-0.053381	12.896981	11.781798	0.000901	1.8
116	-0.073275	13.415927	11.604145	0.002606	1.8
117	-0.083280	13.124888	11.703112	0.004337	1.8
118	-0.064288	13.311305	11.639528	0.006071	1.8
119	-0.098974	14.076746	11.385531	0.008196	1.7
120	-0.040206	14.505945	11.247902	0.004624	1.8
121	-0.080956	15.503035	10.940663	0.000261	1.7
122	-0.062106	15.368800	10.981044	0.003311	1.8
123	-0.055051	15.356397	10.984790	0.004263	1.9
124	-0.078324	16.052219	10.778501	0.011723	2.0
125	-0.073328	15.127971	11.054244	0.010617	1.8
126	-0.107562	16.127971	10.756510	0.011265	1.9
127	-0.093520	17.127971	10.474394	0.007170	1.8
128	-0.049289	16.203720	10.734609	0.010432	1.8
129	-0.057968	17.203720	10.453626	0.011057	1.8
130	-0.039508	16.279468	10.712798	0.009579	1.8
131	-0.079184	15.355216	10.985147	0.011349	1.8
132	-0.031759	16.355216	10.691074	0.001972	1.8
133	-0.071286	15.447155	10.957437	0.002078	1.7
134	-0.046393	15.924168	10.815881	0.006151	1.8
135	-0.090703	16.859175	10.548761	0.007792	1.7
136	-0.088610	15.934928	10.812730	0.005441	1.7
137	-0.081115	15.010967	11.090160	0.009724	1.8
138	-0.036184	16.010965	10.790516	0.007356	1.8
139	-0.111639	17.008718	10.507258	0.004131	1.8
140	-0.033815	18.008032	10.238081	0.009665	1.8
141	-0.013765	19.006302	9.982612	0.005219	1.9
142	-0.055588	18.082052	10.218690	0.009089	1.8
143	-0.084888	17.157839	10.466195	0.001833	1.8
144	-0.034638	18.132908	10.205411	0.003576	1.8
145	-0.070911	18.816801	10.030123	0.002614	1.8
146	-0.096040	19.422330	9.879871	0.002659	2.0
147	-0.105119	19.063348	9.968398	0.007740	1.8
148	-0.063130	20.051575	9.728431	0.003986	1.7
149	-0.062112	19.128197	9.952289	0.007131	1.7
150	-0.068380	20.126909	9.710611	0.003857	1.8
151	-0.033998	21.125455	9.480429	0.003412	1.8
152	-0.078851	20.276203	9.675488	0.000384	1.7
153	-0.109395	20.297205	9.670567	0.001802	1.8
154	-0.057334	20.237188	9.684642	0.007757	1.8
155	-0.100405	19.370844	9.892471	0.008056	1.8
156	-0.069643	18.446592	10.124256	0.005871	1.9
157	-0.036458	19.446585	9.873946	0.018770	1.8
158	-0.044138	18.522333	10.104854	0.001518	1.8
159	-0.073859	17.604945	10.344980	0.006376	1.8
160	-0.070254	16.804486	10.564021	0.003893	1.8
161	-0.054743	16.317155	10.701979	0.005321	1.8
162	-0.074365	15.426987	10.963504	0.011181	1.9
163	-0.126787	16.426986	10.670573	0.006768	1.9
164	-0.045354	17.426986	10.392889	0.022563	1.8
165	-0.070600	16.502734	10.649021	0.004081	1.9
166	-0.038953	15.578483	10.918096	0.008375	1.8
167	-0.053080	16.578276	10.627614	0.009825	1.8
168	-0.069952	15.654290	10.895516	0.002953	1.9
169	-0.095480	14.730815	11.177114	0.001673	1.8
170	-0.076103	14.207042	11.343395	0.003237	1.9
171	-0.050899	14.327017	11.304872	0.017476	1.8
172	-0.092428	14.923871	11.117048	0.002693	2.0
