x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
0,605.0,639.0,605.0,110,-7.5
1,605.0,639.0,605.0,110,-7.5
2,605.0,639.0,605.0,110,-7.5
3,605.0,639.0,605.0,110,-7.5
4,605.0,639.0,605.0,110,-7.5
5,605.0,639.0,605.0,110,-7.5
6,605.0,639.0,605.0,110,-7.5
7,605.0,639.0,605.0,110,-7.5
8,605.0,639.0,605.0,110,-7.5
9,605.0,639.0,605.0,110,-7.5
10,605.0,638.0,605.0,110,-7.5
11,605.0,638.0,605.0,110,-7.5
12,605.0,638.0,605.0,110,-7.5
13,605.0,638.0,605.0,110,-7.5
14,605.0,638.0,605.0,110,-7.5
15,605.0,638.0,605.0,110,-7.5
16,605.0,638.0,605.0,110,-7.5
17,605.0,638.0,605.0,110,-7.5
18,605.0,638.0,605.0,110,-7.5
19,605.0,638.0,605.0,110,-7.5
20,605.0,638.0,605.0,110,-7.5
21,605.0,639.0,605.0,110,-7.5
22,605.0,639.0,605.0,110,-7.5
23,605.0,639.0,605.0,110,-7.5
24,605.0,639.0,605.0,110,-7.5
25,605.0,639.0,605.0,110,-7.5
26,605.0,639.0,605.0,110,-7.5
27,605.0,639.0,605.0,110,-7.5
28,605.0,639.0,605.0,110,-7.5
29,605.0,639.0,605.0,110,-7.5
30,605.0,639.0,605.0,110,-7.5
31,605.0,639.0,605.0,110,-7.5
32,605.0,639.0,605.0,110,-7.5
33,605.0,639.0,605.0,110,-7.5
34,605.0,639.0,605.0,110,-7.5
35,605.0,639.0,605.0,110,-7.5
36,605.0,639.0,605.0,110,-7.5
37,605.0,639.0,605.0,110,-7.5
38,605.0,639.0,605.0,110,-7.5
39,605.0,639.0,605.0,110,-7.5
40,605.0,639.0,605.0,110,-7.5
41,605.0,638.0,605.0,110,-7.5
42,605.0,638.0,605.0,110,-7.5
43,605.0,638.0,605.0,110,-7.5
44,605.0,638.0,605.0,110,-7.5
45,605.0,638.0,605.0,110,-7.5
46,605.0,638.0,605.0,110,-7.5
47,605.0,638.0,605.0,110,-7.5
48,605.0,638.0,605.0,110,-7.5
49,605.0,638.0,605.0,110,-7.5
50,605.0,638.0,605.0,110,-7.5
51,605.0,638.0,605.0,110,-7.5
52,605.0,638.0,605.0,110,-7.5
53,605.0,638.0,605.0,110,-7.5
54,605.0,638.0,605.0,110,-7.5
55,605.0,638.0,605.0,110,-7.5
56,605.0,638.0,605.0,110,-7.5
57,605.0,638.0,605.0,110,-7.5
58,605.0,638.0,605.0,110,-7.5
59,605.0,638.0,605.0,110,-7.5
60,605.0,638.0,605.0,110,-7.5
61,605.0,638.0,605.0,110,-7.5
62,605.0,638.0,605.0,110,-7.5
63,605.0,638.0,605.0,110,-7.5
64,605.0,638.0,605.0,110,-7.5
65,605.0,638.0,605.0,110,-7.5
66,605.0,638.0,605.0,110,-7.5
67,605.0,638.0,605.0,110,-7.5
68,605.0,638.0,605.0,110,-7.5
69,605.0,638.0,605.0,110,-7.5
70,605.0,638.0,605.0,110,-7.5
71,605.0,638.0,605.0,110,-7.5
72,605.0,638.0,605.0,110,-7.5
73,605.0,638.0,605.0,110,-7.5
74,605.0,638.0,605.0,110,-7.5
75,605.0,638.0,605.0,110,-7.5
76,605.0,638.0,605.0,110,-7.5
77,605.0,638.0,605.0,110,-7.5
