x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
0,610.0,594.0,608.0,30,2.0
1,610.0,594.0,608.0,30,2.0
2,610.0,594.0,608.0,30,2.0
3,610.0,595.0,608.0,30,2.0
4,610.0,595.0,608.0,30,2.0
5,610.0,595.0,608.0,30,2.0
6,610.0,595.0,608.0,30,2.0
7,610.0,595.0,608.0,30,2.0
8,610.0,595.0,608.0,30,2.0
9,610.0,595.0,608.0,30,2.0
10,610.0,595.0,608.0,30,2.0
11,610.0,596.0,608.0,30,2.0
12,610.0,596.0,608.0,30,2.0
13,610.0,596.0,608.0,30,2.0
14,610.0,596.0,608.0,30,2.0
15,610.0,596.0,608.0,30,2.0
16,610.0,596.0,608.0,30,2.0
17,610.0,596.0,608.0,30,2.0
18,610.0,596.0,608.0,30,2.0
19,610.0,596.0,608.0,30,2.0
20,610.0,596.0,608.0,30,2.0
21,610.0,596.0,608.0,30,2.0
22,610.0,596.0,608.0,30,2.0
23,610.0,596.0,608.0,30,2.0
24,610.0,596.0,608.0,30,2.0
25,610.0,596.0,608.0,30,2.0
26,610.0,597.0,608.0,30,2.0
27,610.0,597.0,608.0,30,2.0
28,610.0,597.0,608.0,30,2.0
29,610.0,597.0,608.0,30,2.0
30,610.0,597.0,608.0,30,2.0
31,610.0,597.0,608.0,30,2.0
32,610.0,597.0,608.0,30,2.0
33,610.0,597.0,608.0,30,2.0
34,610.0,597.0,609.0,30,2.0
35,610.0,597.0,609.0,30,2.0
36,610.0,597.0,609.0,30,2.0
37,611.0,597.0,609.0,30,2.0
38,611.0,597.0,609.0,30,2.0
39,611.0,597.0,609.0,30,2.0
40,611.0,597.0,609.0,30,2.0
41,611.0,597.0,609.0,30,2.0
42,611.0,597.0,609.0,30,2.0
43,611.0,598.0,609.0,30,2.0
44,611.0,598.0,609.0,30,2.0
45,611.0,598.0,609.0,30,2.0
46,611.0,598.0,609.0,30,2.0
47,611.0,598.0,609.0,30,2.0
48,611.0,598.0,609.0,30,2.0
49,611.0,598.0,609.0,30,2.0
50,611.0,598.0,609.0,30,2.0
51,611.0,598.0,609.0,30,2.0
52,611.0,598.0,609.0,30,2.0
53,611.0,599.0,609.0,30,2.0
54,611.0,599.0,609.0,30,2.0
55,611.0,599.0,609.0,30,2.0
56,611.0,599.0,609.0,30,2.0
57,611.0,599.0,609.0,30,2.0
58,611.0,599.0,609.0,30,2.0
59,611.0,599.0,609.0,30,2.0
60,612.0,600.0,609.0,30,2.0
61,612.0,600.0,609.0,30,2.0
62,612.0,600.0,609.0,30,2.0
63,612.0,600.0,610.0,30,2.0
64,612.0,600.0,610.0,30,2.0
65,612.0,600.0,610.0,30,2.0
66,612.0,600.0,610.0,30,2.0
67,612.0,601.0,610.0,30,2.0
68,613.0,601.0,610.0,30,2.0
69,613.0,601.0,610.0,30,2.0
70,613.0,601.0,610.0,30,2.0
71,613.0,601.0,610.0,30,2.0
72,613.0,601.0,611.0,30,2.0
73,613.0,601.0,611.0,30,2.0
74,613.0,602.0,611.0,30,2.0
75,613.0,602.0,611.0,30,2.0
76,613.0,602.0,611.0,30,2.0
77,613.0,602.0,611.0,30,2.0
78,613.0,602.0,611.0,30,2.0
79,613.0,602.0,612.0,30,2.0
80,613.0,602.0,612.0,30,2.0
81,613.0,602.0,612.0,30,2.0
82,613.0,602.0,612.0,30,2.0
83,613.0,603.0,612.0,30,2.0
84,613.0,603.0,612.0,30,2.0
85,613.0,603.0,612.0,30,2.0
86,613.0,603.0,612.0,30,2.0
87,614.0,603.0,612.0,30,2.0
88,614.0,603.0,612.0,30,2.0
89,614.0,603.0,612.0,30,2.0
90,614.0,603.0,612.0,30,2.0
91,614.0,603.0,612.0,30,2.0
92,614.0,603.0,612.0,30,2.0
93,614.0,603.0,612.0,30,2.0
94,614.0,603.0,612.0,30,2.0
95,614.0,603.0,612.0,30,2.0
96,614.0,603.0,612.0,30,2.0
97,614.0,604.0,612.0,30,2.0
98,615.0,604.0,612.0,30,2.0
99,615.0,604.0,612.0,30,2.0
100,615.0,604.0,612.0,30,2.0
101,615.0,604.0,612.0,30,2.0
102,615.0,604.0,612.0,30,2.0
103,615.0,604.0,613.0,30,2.0
104,615.0,604.0,613.0,30,2.0
105,615.0,604.0,613.0,30,2.0
106,615.0,604.0,613.0,30,2.0
107,615.0,604.0,613.0,30,2.0
108,615.0,605.0,613.0,30,2.0
109,615.0,605.0,613.0,30,2.0
110,615.0,605.0,613.0,30,2.0
111,615.0,605.0,613.0,30,2.0
112,616.0,605.0,613.0,30,2.0
113,616.0,605.0,613.0,30,2.0
114,616.0,605.0,613.0,30,2.0
115,616.0,605.0,613.0,30,2.0
116,616.0,605.0,613.0,30,2.0
117,616.0,606.0,613.0,30,2.0
118,616.0,606.0,614.0,30,2.0
119,616.0,606.0,614.0,30,2.0
120,616.0,606.0,614.0,30,2.0
121,616.0,606.0,614.0,30,2.0
122,616.0,606.0,614.0,30,2.0
123,616.0,606.0,614.0,30,2.0
124,616.0,606.0,614.0,30,2.0
125,616.0,606.0,614.0,30,2.0
126,617.0,607.0,614.0,30,2.0
127,617.0,607.0,614.0,30,2.0
128,617.0,607.0,614.0,30,2.0
129,617.0,607.0,614.0,30,2.0
130,617.0,607.0,615.0,30,2.0
131,617.0,607.0,615.0,30,2.0
132,617.0,607.0,615.0,30,2.0
133,617.0,607.0,615.0,30,2.0
134,617.0,607.0,615.0,30,2.0
135,617.0,607.0,615.0,30,2.0
136,617.0,607.0,615.0,30,2.0
137,617.0,607.0,615.0,30,2.0
138,618.0,608.0,615.0,30,2.0
139,618.0,608.0,615.0,30,2.0
140,618.0,608.0,615.0,30,2.0
141,618.0,608.0,615.0,30,2.0
142,618.0,608.0,615.0,30,2.0
143,618.0,608.0,615.0,30,2.0
144,618.0,608.0,615.0,30,2.0
145,618.0,608.0,615.0,30,2.0
146,618.0,608.0,615.0,30,2.0
147,618.0,609.0,615.0,30,2.0
148,618.0,609.0,616.0,30,2.0
149,618.0,609.0,616.0,30,2.0
150,618.0,609.0,616.0,30,2.0
151,619.0,609.0,616.0,30,2.0
152,619.0,609.0,616.0,30,2.0
153,619.0,609.0,616.0,30,2.0
154,619.0,609.0,616.0,30,2.0
155,619.0,609.0,616.0,30,2.0
156,619.0,609.0,616.0,30,2.0
157,619.0,610.0,616.0,30,2.0
158,619.0,610.0,616.0,30,2.0
159,619.0,610.0,617.0,30,2.0
160,619.0,610.0,617.0,30,2.0
161,619.0,610.0,617.0,30,2.0
162,619.0,610.0,617.0,30,2.0
163,619.0,610.0,617.0,30,2.0
164,619.0,610.0,617.0,30,2.0
165,619.0,610.0,617.0,30,2.0
166,619.0,610.0,617.0,30,2.0
167,619.0,610.0,617.0,30,2.0
168,619.0,610.0,617.0,30,2.0
169,619.0,610.0,617.0,30,2.0
170,619.0,610.0,617.0,30,2.0
171,619.0,610.0,617.0,30,2.0
172,619.0,611.0,617.0,30,2.0
173,619.0,611.0,617.0,30,2.0
174,619.0,611.0,617.0,30,2.0
175,619.0,611.0,617.0,30,2.0
176,619.0,611.0,617.0,30,2.0
177,619.0,611.0,617.0,30,2.0
178,619.0,611.0,617.0,30,2.0
179,619.0,611.0,617.0,30,2.0
180,619.0,611.0,617.0,30,2.0
181,619.0,612.0,617.0,30,2.0
182,619.0,612.0,618.0,30,2.0
183,619.0,612.0,618.0,30,2.0
184,619.0,612.0,618.0,30,2.0
185,619.0,612.0,618.0,30,2.0
186,619.0,612.0,618.0,30,2.0
187,619.0,612.0,618.0,30,2.0
188,620.0,612.0,618.0,30,2.0
189,620.0,612.0,618.0,30,2.0
190,620.0,612.0,618.0,30,2.0
191,620.0,613.0,618.0,30,2.0
192,620.0,613.0,618.0,30,2.0
193,620.0,613.0,618.0,30,2.0
194,620.0,613.0,618.0,30,2.0
195,620.0,613.0,619.0,30,2.0
196,620.0,613.0,619.0,30,2.0
197,620.0,613.0,619.0,30,2.0
198,620.0,613.0,619.0,30,2.0
199,620.0,613.0,618.0,30,2.0
200,620.0,613.0,618.0,30,2.0
201,620.0,613.0,618.0,30,2.0
202,620.0,613.0,618.0,30,2.0
203,620.0,613.0,618.0,30,2.0
204,620.0,613.0,618.0,30,2.0
205,620.0,613.0,618.0,30,2.0
206,620.0,613.0,618.0,30,2.0
207,620.0,613.0,618.0,30,2.0
208,621.0,613.0,618.0,30,2.0
209,621.0,613.0,618.0,30,2.0
210,621.0,613.0,618.0,30,2.0
211,621.0,613.0,618.0,30,2.0
212,621.0,613.0,618.0,30,2.0
213,621.0,613.0,618.0,30,2.0
214,621.0,613.0,618.0,30,2.0
215,621.0,613.0,618.0,30,2.0
216,621.0,613.0,618.0,30,2.0
217,621.0,614.0,618.0,30,2.0
218,621.0,614.0,618.0,30,2.0
219,621.0,614.0,618.0,30,2.0
220,621.0,614.0,618.0,30,2.0
221,621.0,614.0,618.0,30,2.0
222,621.0,614.0,618.0,30,2.0
223,621.0,614.0,618.0,30,2.0
224,621.0,614.0,619.0,30,2.0
225,621.0,614.0,619.0,30,2.0
226,621.0,615.0,619.0,30,2.0
227,621.0,615.0,619.0,30,2.0
228,621.0,615.0,619.0,30,2.0
229,621.0,615.0,619.0,30,2.0
230,621.0,615.0,619.0,30,2.0
231,621.0,615.0,619.0,30,2.0
232,621.0,615.0,619.0,30,2.0
233,621.0,615.0,619.0,30,2.0
234,621.0,615.0,619.0,30,2.0
235,621.0,616.0,620.0,30,2.0
236,621.0,616.0,620.0,30,2.0
