x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
0,702.0,666.0,693.0,139,9.5
1,702.0,667.0,693.0,139,9.5
2,702.0,667.0,693.0,139,9.5
3,702.0,668.0,693.0,139,9.5
4,702.0,669.0,693.0,139,9.5
5,702.0,670.0,693.0,139,9.5
6,702.0,671.0,693.0,139,9.5
7,702.0,672.0,693.0,139,9.5
8,702.0,673.0,693.0,139,9.5
9,702.0,674.0,693.0,139,9.5
10,702.0,676.0,693.0,139,9.5
11,702.0,679.0,693.0,139,9.5
12,702.0,681.0,693.0,139,9.5
13,702.0,683.0,693.0,139,9.5
14,702.0,685.0,693.0,139,9.5
15,702.0,687.0,693.0,139,9.5
16,702.0,688.0,693.0,139,9.5
17,702.0,689.0,693.0,139,9.5
18,702.0,690.0,693.0,139,9.5
19,702.0,690.0,693.0,139,9.5
20,702.0,691.0,693.0,139,9.5
21,702.0,692.0,693.0,139,9.5
22,702.0,692.0,693.0,139,9.5
23,702.0,693.0,693.0,139,9.5
24,702.0,693.0,693.0,139,9.5
25,702.0,694.0,693.0,139,9.5
26,702.0,694.0,693.0,139,9.5
27,702.0,694.0,693.0,139,9.5
28,702.0,694.0,693.0,139,9.5
29,702.0,694.0,693.0,139,9.5
30,702.0,694.0,693.0,139,9.5
31,702.0,694.0,693.0,139,9.5
32,702.0,693.0,693.0,139,9.5
33,702.0,693.0,693.0,139,9.5
34,702.0,693.0,693.0,139,9.5
35,702.0,692.0,693.0,139,9.5
36,702.0,692.0,693.0,139,9.5
37,702.0,692.0,693.0,139,9.5
38,702.0,692.0,693.0,139,9.5
39,702.0,692.0,693.0,139,9.5
40,702.0,692.0,693.0,139,9.5
41,702.0,692.0,693.0,139,9.5
42,702.0,692.0,693.0,139,9.5
43,702.0,691.0,693.0,139,9.5
44,702.0,691.0,693.0,139,9.5
45,702.0,691.0,693.0,139,9.5
46,702.0,691.0,693.0,139,9.5
47,702.0,691.0,693.0,139,9.5
48,702.0,692.0,693.0,139,9.5
49,702.0,692.0,693.0,139,9.5
50,702.0,693.0,693.0,139,9.5
51,702.0,693.0,693.0,139,9.5
52,702.0,694.0,693.0,139,9.5
53,702.0,695.0,693.0,139,9.5
54,702.0,696.0,693.0,139,9.5
55,702.0,697.0,693.0,139,9.5
56,702.0,698.0,693.0,139,9.5
57,702.0,698.0,693.0,139,9.5
58,702.0,699.0,693.0,139,9.5
59,702.0,699.0,693.0,139,9.5
60,702.0,700.0,693.0,139,9.5
61,702.0,700.0,693.0,139,9.5
62,702.0,701.0,693.0,139,9.5
63,702.0,701.0,693.0,139,9.5
64,702.0,701.0,693.0,139,9.5
65,702.0,701.0,693.0,139,9.5
66,702.0,701.0,693.0,139,9.5
67,702.0,701.0,693.0,139,9.5
68,702.0,701.0,693.0,139,9.5
69,702.0,700.0,693.0,139,9.5
70,702.0,700.0,693.0,139,9.5
